F1,F2,F3,F4,composite
0.9231,-0.4913,-0.7054,0.1552,0.0252
0.1721,0.4193,0.3905,-0.469,0.1613
0.5401,-0.1129,0.3735,0.9743,0.4015
0.7137,0.3284,0.3863,0.5932,0.5104
0.4528,-0.316,-0.1389,0.8893,0.1943
-1.7334,1.1269,-0.8584,2.1868,0.0611
-1.7231,-0.7485,-0.5715,-0.5912,-0.9785
-1.6876,1.4121,-0.306,1.5095,0.1362
-1.7477,1.1761,-1.9429,1.5039,-0.2854
-0.2788,-1.3255,1.3281,-0.873,-0.3762
0.0326,-0.3146,0.8944,1.1172,0.3221
-0.188,-0.325,0.9089,1.1689,0.265
-1.5516,1.8066,1.4174,-2.0602,-0.0661
0.9073,-0.3075,-0.122,0.2515,0.212
0.0674,-0.0146,-1.0069,1.4531,0.1004
-0.8859,1.4265,-0.037,0.0036,0.1403
-1.3943,1.9814,1.2829,-1.641,0.089
0.8487,-0.0598,1.59,-0.9514,0.3757
0.4918,0.1385,0.991,0.3464,0.4611
-1.2854,1.0409,0.896,-0.4056,0.014
0.6031,0.1945,0.5693,0.2783,0.4121
0.9723,-0.7539,0.3538,0.491,0.2457
-0.9176,0.1808,1.8516,1.9806,0.5436
0.9321,-2.7694,1.8679,2.4149,0.3344
0.1608,0.6875,0.7752,0.9758,0.602
-1.5411,-1.6621,-1.4324,-1.2969,-1.5058
0.2185,0.1585,0.4812,0.8748,0.3849
1.3783,1.3494,1.4269,1.8021,1.464
0.2743,-1.5086,-2.0291,2.4272,-0.2878
0.1273,0.0368,-0.8325,-1.0948,-0.3375
-1.6731,0.987,-0.8519,1.5016,-0.0964
-1.3879,0.5121,0.203,1.0407,-0.0253
0.2144,0.1438,0.1478,1.0108,0.3386
-1.9828,1.781,1.9577,-1.3914,0.0378
-1.5411,-1.6621,-1.4324,-1.2969,-1.5058
0.5111,-0.1384,0.571,0.8087,0.3924
0.2784,-0.1181,1.0014,0.4504,0.3437
-1.7671,1.1292,2.1869,-0.4857,0.1396
0.3182,-0.5592,1.1419,-0.3791,0.0904
-1.9173,1.1876,1.8264,-1.24,-0.1124
0.7589,-1.205,-0.8739,2.1403,0.1268
-0.4239,0.1894,0.8166,-0.0814,0.0761
1.547,0.7372,1.3801,-1.8319,0.6042
0.4067,0.0303,0.0656,0.813,0.308
-0.6887,0.1845,-0.6041,1.4801,0.0153
0.4443,0.2374,0.1038,0.9311,0.4113
-1.124,0.7913,-0.4364,2.1548,0.2283
0.7995,0.1629,0.06,0.8813,0.479
-0.7977,-0.6186,0.0488,0.6063,-0.2938
-1.8367,1.5093,-0.5911,1.7374,0.1065
0.7122,-1.7719,-0.1122,0.2907,-0.2661
-0.8188,-0.5829,-1.1313,1.4717,-0.3578
0.2932,-0.7719,0.0619,0.3332,-0.0575
-0.1572,-0.3085,0.1792,0.6799,0.0335
-1.5429,0.6933,0.2394,-0.2275,-0.2644
-1.335,-0.2813,1.4559,-0.2912,-0.2512
0.2667,-0.0461,0.4613,0.5981,0.2807
-0.831,0.3548,-0.4239,0.2775,-0.1808
-1.0284,1.2886,-1.3965,1.3533,0.0482
0.7666,-0.1979,0.9661,0.4176,0.4556
0.9652,-1.254,-0.5029,0.9175,0.0077
-1.7245,1.4107,-0.8135,1.3954,-0.0014
0.9339,-1.3087,-0.1409,0.2419,-0.0785
-1.2275,1.1313,1.3049,-1.2835,-0.0332
0.2434,-1.3736,0.5051,0.3507,-0.1551
-1.3469,0.7488,-1.0076,0.788,-0.2402
0.7306,-0.0687,0.2493,0.2946,0.3121
0.9467,-1.4877,0.1674,0.2588,-0.0609
0.3319,0.081,0.9833,0.339,0.3925
0.3597,0.0865,-0.0586,0.155,0.1539
-0.2223,0.0006,1.8448,-1.7462,-0.0395
0.2695,0.0131,0.069,1.005,0.2999
-0.2144,-0.5013,0.2784,0.6236,-0.0314
-1.275,0.318,1.1156,-0.1535,-0.0995
0.8046,-1.5388,0.2774,1.1495,0.0803
0.0238,0.2852,0.5101,0.5017,0.2943
-1.577,1.243,1.0917,-0.7692,-0.0483
0.6998,-1.1918,0.163,1.1556,0.1278
-1.3651,0.8478,1.1524,0.3596,0.1376
-0.9774,0.3556,0.2611,0.1879,-0.1036
-1.4306,0.6166,1.5043,-0.3966,-0.0288
0.2632,-1.3959,0.3415,0.7922,-0.1011
-0.5961,0.5004,-0.2332,1.3355,0.1827
0.457,-1.0216,0.9118,-0.0508,0.016
-0.9916,-0.521,-0.6032,0.5368,-0.4709
0.855,-1.4483,-0.4271,1.1378,-0.0235
-0.2966,-0.8844,0.7413,0.0549,-0.1875
-1.1405,0.525,-0.5631,0.2745,-0.2543
-0.4645,0.1221,0.9546,-0.8677,-0.0843
-0.1051,-0.5898,-0.3476,0.1656,-0.2424
-0.3263,-0.1195,0.0755,0.8895,0.0577
-1.6514,0.566,1.9049,1.9599,0.4391
-0.1109,-0.8942,0.5954,-0.598,-0.2932
1.0446,-1.3587,-0.8353,-1.1675,-0.481
-0.0052,0.4948,1.1475,-0.9155,0.1946
0.5637,-1.4799,0.3952,0.4983,-0.0815
-1.0337,0.7602,-1.1295,1.0102,-0.1219
0.2244,-0.6436,-0.4554,1.0142,-0.0108
-1.0196,0.6989,-1.1908,0.6662,-0.2164
-0.4413,-0.2117,0.4421,0.2575,-0.0554
-1.0499,-0.1597,-0.9772,0.2915,-0.5079
-0.5645,-0.0682,-0.1317,0.1602,-0.1871
0.6815,-1.1473,-0.6252,0.0036,-0.2542
-1.2917,-1.1229,-0.5469,-0.5275,-0.9388
-0.7586,0.5002,0.2293,-0.234,-0.085
0.5064,-1.2105,-0.1668,0.4874,-0.1367
-0.0833,-0.2239,1.5646,-0.2597,0.1758
-1.2712,0.6754,0.7616,0.3838,0.0411
0.8191,-0.9716,-0.168,1.0647,0.1432
-0.4299,0.1673,1.4096,-0.9928,0.0072
-1.318,1.9709,-0.5187,-0.1823,0.0327
0.584,-1.1218,0.6153,-0.4865,-0.1216
-0.207,-0.1798,1.3355,-0.4996,0.0566
-0.0319,-0.1811,0.6163,0.6417,0.1903
-1.7771,-1.9553,0.7097,1.4257,-0.6863
-0.5118,-0.2526,0.1523,0.2142,-0.1564
-0.7566,0.1954,0.2132,1.1609,0.1006
-1.5423,0.9759,-0.299,1.1564,-0.0159
-0.3781,0.2773,-0.706,0.5205,-0.0744
-1.2235,0.9683,-0.2463,-0.5165,-0.2428
-0.8139,0.8544,1.3244,-1.3164,0.0093
0.3828,-1.2218,0.3193,0.768,-0.0229
0.5218,-0.9392,0.5349,-0.5865,-0.1234
-1.0647,0.7706,-0.1715,0.7575,0.0164
-0.0227,0.2659,-0.6562,1.4222,0.2202
-0.4582,-0.0214,-0.7962,0.7716,-0.1546
-0.0402,0.3481,-0.3424,0.1005,0.0399
0.1416,-0.0123,-0.4482,1.0049,0.1483
-0.0437,-1.1191,0.9467,-1.6749,-0.4812
0.251,-0.1512,-0.3212,-0.1231,-0.0575
0.4321,0.5548,0.6828,0.6364,0.5596
-0.7436,-0.7741,1.2199,0.1989,-0.1656
-0.9262,-0.9296,1.4876,-2.1986,-0.6891
0.9459,-1.9937,2.0839,-0.9163,-0.0529
-1.5075,1.1128,-2.1187,2.2392,-0.1201
-1.9248,1.6691,0.0923,-0.0514,-0.0903
-1.8469,1.1714,1.825,-1.5709,-0.1618
0.8795,-0.126,0.7326,-0.3413,0.3126
-1.5341,1.4979,1.1724,-1.0249,0.0049
-1.9688,1.9496,0.582,-1.1293,-0.1364
-1.3573,1.7429,-1.7784,-1.7528,-0.6146
-0.1964,-0.0192,1.2419,-0.2428,0.1389
0.2203,-0.7802,0.2611,0.7022,0.0317
-0.2394,-0.4207,-0.0428,0.9252,-0.0208
0.1649,-0.1347,-0.0027,-0.3572,-0.0607
0.5888,-0.0494,-0.0998,-0.424,0.0606
-1.0941,0.8632,0.2386,0.0204,-0.0287
0.7685,-1.4238,0.2868,-0.4634,-0.2159
0.8782,-2.1653,-2.0298,2.0184,-0.3772
1.0057,-1.5395,0.4345,-0.2109,-0.0971
0.5236,-0.0449,0.8169,0.7287,0.4578
1.667,-1.9046,-0.4413,0.5965,-0.0198
0.0721,0.1048,0.1953,0.498,0.1915
-1.6362,1.2588,0.6921,-1.4763,-0.2837
-1.7608,0.9036,1.366,0.1658,0.0381
-1.2926,1.009,-1.4184,0.3189,-0.3243
-1.7323,1.1601,1.4549,-1.5352,-0.1984
-0.0472,0.3845,-0.3242,-0.3364,-0.0348
-1.5965,0.7008,0.5588,-1.4622,-0.4591
-1.2253,0.5241,1.6715,-1.1003,-0.0992
0.3575,-0.7332,-1.0151,-1.7353,-0.6571
0.1841,-1.0912,-0.377,1.5017,-0.0412
0.61,-0.572,1.3506,-1.5159,-0.0079
-1.7215,0.8214,-0.4083,1.0218,-0.1648
-0.6355,0.4707,-0.4114,-0.2209,-0.1838
-1.0316,0.541,-0.1174,0.6766,-0.0458
0.013,0.5221,0.693,0.2698,0.3514
0.6314,-0.8804,1.2917,-0.8553,0.0278
-1.9189,1.7303,-1.9839,1.5339,-0.1778
-0.6874,0.4485,1.6635,-0.9168,0.0777
-0.6209,0.5047,-2.0375,0.077,-0.441
-1.6137,1.1986,1.3338,-0.419,0.0464
0.7552,-0.4205,-0.696,0.8327,0.1314
-0.2115,-0.1839,1.3196,-1.1591,-0.0803
0.1517,-0.6326,0.9272,-0.4332,-0.0363
-0.8187,-0.596,-0.4165,-0.6344,-0.6351
0.3295,0.1158,0.5818,-0.255,0.2021
-1.4833,1.6105,-1.2683,1.0393,-0.0327
0.4721,0.648,0.0805,0.1231,0.3745
-0.4235,0.3277,-1.4234,1.8496,0.0449
0.5268,-0.3006,-1.0067,1.3686,0.1401
0.5222,-0.5071,1.3018,-0.6281,0.1509
-1.4063,0.9038,1.3636,-1.1092,-0.1077
-0.0555,0.1765,1.2797,-0.5522,0.1853
-0.4611,-0.8275,0.1205,1.3243,-0.0949
-1.2878,1.1226,1.4099,-1.5227,-0.0804
-0.1594,-0.0495,0.1037,-0.1957,-0.0809
0.0238,0.2852,0.5101,0.5017,0.2943
-1.0258,-0.2509,0.8573,0.6883,-0.075
-0.0814,-0.1564,-0.0028,0.2526,-0.0209
0.3302,-1.2835,1.1834,0.2402,0.0138
0.3631,0.4471,-0.073,-0.2851,0.17
0.0759,-0.5718,-1.1831,1.3015,-0.126
0.8077,-0.3785,0.9772,0.0828,0.351
